Minute,HomeLead,PlayerAdvantage,playerdiff,minute,Win,Tie,Lose,N,ActWin,ActTie,ActLose,xPts,LowerWin,UpperWin,Inside?
30,3,Neutral,0,30,0.964318392,0.033913908,0.001767699,12,1,0,0,2.926869086,0.892904357,1.107095643,1
40,3,Neutral,0,40,0.97114434,0.027828646,0.001027014,16,0.9375,0.0625,0,2.941261667,0.853799626,1.021200374,1
50,3,Neutral,0,50,0.978303488,0.021368144,0.000328368,18,1,0,0,2.956278609,0.931320757,1.068679243,1
60,3,Neutral,0,60,0.986140646,0.01375904,0.000100314,39,1,0,0,2.972180977,0.96255976,1.03744024,1
70,3,Neutral,0,70,0.995148564,0.004843464,7.97E-06,49,1,0,0,2.990289156,0.980147689,1.019852311,1
80,3,Neutral,0,80,0.999455144,0.000544834,2.15E-08,61,1,0,0,2.998910267,0.994024317,1.005975683,1
90,3,Neutral,0,90,0.999973434,2.66E-05,4.38E-12,63,1,0,0,2.999946869,0.998701285,1.001298715,1
0,-3,Away,-1,0,0.076481985,0.042205985,0.881312029,NA,NA,NA,NA,0.271651942,#VALUE!,#VALUE!,#VALUE!
10,-3,Away,-1,10,0.041640582,0.04351981,0.914839608,NA,NA,NA,NA,0.168441557,#VALUE!,#VALUE!,#VALUE!
20,-3,Away,-1,20,0.024428468,0.048836808,0.926734724,NA,NA,NA,NA,0.122122212,#VALUE!,#VALUE!,#VALUE!
30,-3,Away,-1,30,0.01603487,0.057181607,0.926783523,NA,NA,NA,NA,0.105286216,#VALUE!,#VALUE!,#VALUE!
40,-3,Away,-1,40,0.010712903,0.049723354,0.939563744,NA,NA,NA,NA,0.081862061,#VALUE!,#VALUE!,#VALUE!
50,-3,Away,-1,50,0.006602695,0.030537877,0.962859428,NA,NA,NA,NA,0.050345962,#VALUE!,#VALUE!,#VALUE!
60,-3,Away,-1,60,0.003283705,0.021205348,0.975510946,NA,NA,NA,NA,0.031056465,#VALUE!,#VALUE!,#VALUE!
70,-3,Away,-1,70,0.000658835,0.009141697,0.990199468,3,0,0,1,0.011118201,-0.029628828,0.029628828,1
80,-3,Away,-1,80,2.30E-05,0.000833694,0.999143266,4,0,0,1,0.000902815,-0.004800003,0.004800003,1
90,-3,Away,-1,90,2.23E-07,2.25E-05,0.999977291,2,0,0,1,2.32E-05,-0.000667502,0.000667502,1
0,-2,Away,-1,0,0.133946374,0.09113506,0.774918566,NA,NA,NA,NA,0.492974183,#VALUE!,#VALUE!,#VALUE!
10,-2,Away,-1,10,0.090497877,0.097819399,0.811682724,NA,NA,NA,NA,0.369313031,#VALUE!,#VALUE!,#VALUE!
20,-2,Away,-1,20,0.063392323,0.108804811,0.827802866,NA,NA,NA,NA,0.29898178,#VALUE!,#VALUE!,#VALUE!
30,-2,Away,-1,30,0.047121001,0.122579953,0.830299046,1,0,1,0,0.263942957,-0.423795292,0.423795292,1
40,-2,Away,-1,40,0.035202612,0.116703366,0.848094022,2,0,0.5,0.5,0.222311203,-0.260627659,0.260627659,1
50,-2,Away,-1,50,0.024872338,0.091806733,0.883320929,1,0,0,1,0.166423748,-0.311472022,0.311472022,1
